,Barrackpore Chiria More,Talpukur(Barrackpore)/BMRC,Sandhya Cinema,Sukhchar,Sodepur More/Panihati Pourasabha,Agarpara,Rathtala,Indian Statistical Institute,Rabindra Bharati University,BT Road Bus Stand,Jagat Mukherjee Park,Girish Park,Manicktala,HUDCO,Apollo Hospital,Chingrighata,Dhapa/Mathpukur/Marriot,Panchannagram,Ruby Hospital,Metro Cash & Carry,Peerless More/Hiland Park,Patuli Jheel Par,Pepsi/Das Para,Mahamayatala
Barrackpore Chiria More,X,20,30,30,30,30,40,40,50,50,50,60,60,70,70,70,80,80,90,90,90,100,100,100
Talpukur(Barrackpore)/BMRC,20,X,20,30,30,30,30,40,40,50,50,50,60,60,70,70,70,80,80,90,90,90,100,100
Sandhya Cinema,30,20,X,20,30,30,30,30,40,40,50,50,50,60,60,70,70,70,80,80,90,90,90,100
Sukhchar,30,30,20,X,20,30,30,30,30,40,40,50,50,50,60,60,70,70,70,80,80,90,90,90
Sodepur More/Panihati Pourasabha,30,30,30,20,X,20,30,30,30,30,40,40,50,50,50,60,60,70,70,70,80,80,90,90
Agarpara,30,30,30,30,20,X,20,30,30,30,30,40,40,50,50,50,60,60,70,70,70,80,80,90
Rathtala,40,30,30,30,30,20,X,20,30,30,30,30,40,40,50,50,50,60,60,70,70,70,80,80
Indian Statistical Institute,40,40,30,30,30,30,20,X,20,30,30,30,30,40,40,50,50,50,60,60,70,70,70,80
Rabindra Bharati University,50,40,40,30,30,30,30,20,X,20,30,30,30,30,40,40,50,50,50,60,60,70,70,70
BT Road Bus Stand,50,50,40,40,30,30,30,30,20,X,20,30,30,30,30,40,40,50,50,50,60,60,70,70
Jagat Mukherjee Park,50,50,50,40,40,30,30,30,30,20,X,20,30,30,30,30,40,40,50,50,50,60,60,70
Girish Park,60,50,50,50,40,40,30,30,30,30,20,X,20,30,30,30,30,40,40,50,50,50,60,60
Manicktala,60,60,50,50,50,40,40,30,30,30,30,20,X,20,30,30,30,30,40,40,50,50,50,60
HUDCO,70,60,60,50,50,50,40,40,30,30,30,30,20,X,20,30,30,30,30,40,40,50,50,50
Apollo Hospital,70,70,60,60,50,50,50,40,40,30,30,30,30,20,X,20,30,30,30,30,40,40,50,50
Chingrighata,70,70,70,60,60,50,50,50,40,40,30,30,30,30,20,X,20,30,30,30,30,40,40,50
Dhapa/Mathpukur/Marriot,80,70,70,70,60,60,50,50,50,40,40,30,30,30,30,20,X,20,30,30,30,30,40,40
Panchannagram,80,80,70,70,70,60,60,50,50,50,40,40,30,30,30,30,20,X,20,30,30,30,30,40
Ruby Hospital,90,80,80,70,70,70,60,60,50,50,50,40,40,30,30,30,30,20,X,20,30,30,30,30
Metro Cash & Carry,90,90,80,80,70,70,70,60,60,50,50,50,40,40,30,30,30,30,20,X,20,30,30,30
Peerless More/Hiland Park,90,90,90,80,80,70,70,70,60,60,50,50,50,40,40,30,30,30,30,20,X,20,30,30
Patuli Jheel Par,100,90,90,90,80,80,70,70,70,60,60,50,50,50,40,40,30,30,30,30,20,X,20,30
Pepsi/Das Para,100,100,90,90,90,80,80,70,70,70,60,60,50,50,50,40,40,30,30,30,30,20,X,20
Mahamayatala,100,100,100,90,90,90,80,80,70,70,70,60,60,50,50,50,40,40,30,30,30,30,20,X
